 150.00 keV   6.181E-01  5.596E-02    3692 A      2071 A      1748 A
 160.00 keV   6.401E-01  5.434E-02    3913 A      2141 A      1818 A
 170.00 keV   6.616E-01  5.283E-02    4130 A      2207 A      1885 A
 180.00 keV   6.827E-01  5.142E-02    4344 A      2270 A      1950 A
 200.00 keV   7.237E-01  4.884E-02    4765 A      2386 A      2072 A
 225.00 keV   7.728E-01  4.602E-02    5276 A      2518 A      2215 A
 250.00 keV   8.199E-01  4.356E-02    5772 A      2636 A      2346 A
 275.00 keV   8.652E-01  4.138E-02    6253 A      2744 A      2468 A
 300.00 keV   9.088E-01  3.945E-02    6721 A      2841 A      2581 A
 325.00 keV   9.509E-01  3.772E-02    7176 A      2931 A      2688 A
 350.00 keV   9.916E-01  3.615E-02    7619 A      3013 A      2787 A
 375.00 keV   1.031E+00  3.473E-02    8051 A      3089 A      2881 A
 400.00 keV   1.069E+00  3.344E-02    8473 A      3159 A      2969 A
 450.00 keV   1.142E+00  3.115E-02    9290 A      3286 A      3133 A
 500.00 keV   1.211E+00  2.920E-02    1.01 um     3397 A      3280 A
 550.00 keV   1.276E+00  2.751E-02    1.08 um     3495 A      3415 A
 600.00 keV   1.337E+00  2.603E-02    1.16 um     3584 A      3539 A
 650.00 keV   1.395E+00  2.473E-02    1.23 um     3663 A      3653 A
 700.00 keV   1.451E+00  2.356E-02    1.29 um     3735 A      3759 A
 800.00 keV   1.552E+00  2.157E-02    1.43 um     3863 A      3950 A
 900.00 keV   1.643E+00  1.993E-02    1.55 um     3973 A      4120 A
   1.00 MeV   1.725E+00  1.854E-02    1.67 um     4068 A      4272 A
   1.10 MeV   1.798E+00  1.736E-02    1.79 um     4152 A      4411 A
   1.20 MeV   1.863E+00  1.634E-02    1.90 um     4227 A      4538 A
   1.30 MeV   1.921E+00  1.544E-02    2.01 um     4296 A      4656 A
   1.40 MeV   1.973E+00  1.465E-02    2.11 um     4358 A      4765 A
   1.50 MeV   2.019E+00  1.394E-02    2.22 um     4415 A      4868 A
   1.60 MeV   2.060E+00  1.331E-02    2.32 um     4468 A      4966 A
   1.70 MeV   2.096E+00  1.273E-02    2.42 um     4518 A      5058 A
   1.80 MeV   2.128E+00  1.221E-02    2.52 um     4565 A      5146 A
   2.00 MeV   2.181E+00  1.130E-02    2.72 um     4655 A      5311 A
   2.25 MeV   2.232E+00  1.036E-02    2.96 um     4758 A      5500 A
   2.50 MeV   2.270E+00  9.570E-03    3.20 um     4851 A      5676 A
   2.75 MeV   2.299E+00  8.906E-03    3.43 um     4937 A      5840 A
   3.00 MeV   2.322E+00  8.336E-03    3.67 um     5017 A      5995 A
   3.25 MeV   2.341E+00  7.841E-03    3.90 um     5092 A      6143 A
   3.50 MeV   2.357E+00  7.407E-03    4.13 um     5162 A      6284 A
   3.75 MeV   2.371E+00  7.023E-03    4.36 um     5230 A      6420 A
   4.00 MeV   2.383E+00  6.680E-03    4.58 um     5294 A      6550 A
   4.50 MeV   2.404E+00  6.094E-03    5.04 um     5433 A      6800 A
   5.00 MeV   2.419E+00  5.610E-03    5.49 um     5563 A      7035 A
   5.50 MeV   2.431E+00  5.204E-03    5.94 um     5686 A      7260 A
   6.00 MeV   2.439E+00  4.857E-03    6.39 um     5802 A      7475 A
   6.50 MeV   2.444E+00  4.557E-03    6.84 um     5914 A      7682 A
   7.00 MeV   2.445E+00  4.294E-03    7.28 um     6022 A      7883 A
   8.00 MeV   2.438E+00  3.857E-03    8.18 um     6290 A      8268 A
   9.00 MeV   2.422E+00  3.507E-03    9.08 um     6545 A      8638 A
  10.00 MeV   2.398E+00  3.219E-03    9.99 um     6791 A      8995 A
  11.00 MeV   2.369E+00  2.978E-03   10.92 um     7030 A      9345 A
  12.00 MeV   2.336E+00  2.773E-03   11.85 um     7264 A      9688 A
  13.00 MeV   2.300E+00  2.597E-03   12.80 um     7496 A      1.00 um
  14.00 MeV   2.263E+00  2.443E-03   13.77 um     7726 A      1.04 um
  15.00 MeV   2.224E+00  2.307E-03   14.75 um     7955 A      1.07 um
  16.00 MeV   2.185E+00  2.187E-03   15.75 um     8184 A      1.10 um
  17.00 MeV   2.146E+00  2.080E-03   16.77 um     8413 A      1.14 um
  18.00 MeV   2.108E+00  1.983E-03   17.80 um     8644 A      1.17 um
  20.00 MeV   2.032E+00  1.816E-03   19.93 um     9352 A      1.24 um
  22.50 MeV   1.941E+00  1.646E-03   22.71 um     1.04 um     1.33 um
  25.00 MeV   1.861E+00  1.506E-03   25.62 um     1.14 um     1.41 um
  27.50 MeV   1.782E+00  1.390E-03   28.65 um     1.24 um     1.51 um
  30.00 MeV   1.707E+00  1.291E-03   31.81 um     1.34 um     1.60 um
  32.50 MeV   1.645E+00  1.207E-03   35.11 um     1.44 um     1.70 um
  35.00 MeV   1.587E+00  1.133E-03   38.53 um     1.55 um     1.80 um
  37.50 MeV   1.534E+00  1.068E-03   42.07 um     1.65 um     1.90 um
  40.00 MeV   1.484E+00  1.011E-03   45.73 um     1.75 um     2.01 um
  45.00 MeV   1.395E+00  9.145E-04   53.42 um     2.11 um     2.23 um
  50.00 MeV   1.317E+00  8.356E-04   61.58 um     2.45 um     2.46 um
  55.00 MeV   1.248E+00  7.699E-04   70.20 um     2.78 um     2.70 um
  60.00 MeV   1.188E+00  7.144E-04   79.29 um     3.11 um     2.95 um
  65.00 MeV   1.134E+00  6.667E-04   88.82 um     3.43 um     3.21 um
  70.00 MeV   1.086E+00  6.254E-04   98.79 um     3.76 um     3.49 um
  80.00 MeV   1.002E+00  5.571E-04  120.00 um     4.89 um     4.06 um
  90.00 MeV   9.333E-01  5.030E-04  142.87 um     5.95 um     4.68 um
 100.00 MeV   8.745E-01  4.589E-04  167.37 um     6.97 um     5.33 um
 110.00 MeV   8.237E-01  4.223E-04  193.44 um     7.97 um     6.02 um
 120.00 MeV   7.790E-01  3.914E-04  221.07 um     8.97 um     6.74 um
 130.00 MeV   7.393E-01  3.650E-04  250.24 um     9.97 um     7.49 um
 140.00 MeV   7.036E-01  3.420E-04  280.93 um    10.97 um     8.28 um
 150.00 MeV   6.713E-01  3.219E-04  313.13 um    11.99 um     9.10 um
 160.00 MeV   6.419E-01  3.042E-04  346.85 um    13.01 um     9.96 um
 170.00 MeV   6.149E-01  2.884E-04  382.08 um    14.05 um    10.85 um
 180.00 MeV   5.900E-01  2.743E-04  418.84 um    15.10 um    11.77 um
 200.00 MeV   5.456E-01  2.500E-04  496.88 um    18.93 um    13.71 um
 225.00 MeV   4.986E-01  2.253E-04  603.01 um    24.43 um    16.33 um
 250.00 MeV   4.592E-01  2.053E-04  718.71 um    29.68 um    19.17 um
 275.00 MeV   4.262E-01  1.886E-04  843.84 um    34.86 um    22.22 um
 300.00 MeV   3.987E-01  1.746E-04  978.14 um    40.02 um    25.47 um
 325.00 MeV   3.760E-01  1.627E-04    1.12 mm    45.17 um    28.92 um
 350.00 MeV   3.578E-01  1.523E-04    1.27 mm    50.32 um    32.54 um
 375.00 MeV   3.411E-01  1.432E-04    1.43 mm    55.46 um    36.33 um
 400.00 MeV   3.251E-01  1.352E-04    1.60 mm    60.64 um    40.28 um
 450.00 MeV   2.977E-01  1.217E-04    1.95 mm    79.54 um    48.69 um
 500.00 MeV   2.752E-01  1.108E-04    2.34 mm    97.31 um    57.75 um
 550.00 MeV   2.563E-01  1.018E-04    2.76 mm   114.59 um    67.45 um
 600.00 MeV   2.402E-01  9.413E-05    3.20 mm   131.68 um    77.77 um
 650.00 MeV   2.264E-01  8.762E-05    3.68 mm   148.74 um    88.67 um
 700.00 MeV   2.143E-01  8.198E-05    4.18 mm   165.84 um   100.15 um
 800.00 MeV   1.942E-01  7.272E-05    5.27 mm   227.81 um   124.79 um
 900.00 MeV   1.781E-01  6.541E-05    6.46 mm   285.17 um   151.54 um
   1.00 GeV   1.650E-01  5.949E-05    7.75 mm   340.66 um   180.30 um
   1.10 GeV   1.541E-01  5.459E-05    9.14 mm   395.35 um   210.98 um
   1.20 GeV   1.449E-01  5.047E-05   10.62 mm   449.78 um   243.46 um
   1.30 GeV   1.370E-01  4.695E-05   12.19 mm   504.20 um   277.68 um
   1.40 GeV   1.301E-01  4.391E-05   13.85 mm   558.76 um   313.54 um
   1.50 GeV   1.240E-01  4.125E-05   15.60 mm   613.54 um   350.97 um
   1.60 GeV   1.187E-01  3.891E-05   17.42 mm   668.57 um   389.91 um
   1.70 GeV   1.140E-01  3.683E-05   19.33 mm   723.88 um   430.28 um
   1.80 GeV   1.097E-01  3.497E-05   21.31 mm   779.45 um   472.02 um
   2.00 GeV   1.024E-01  3.178E-05   25.49 mm   984.26 um   559.40 um
   2.25 GeV   9.503E-02  2.856E-05   31.10 mm     1.27 mm   675.36 um
   2.50 GeV   8.904E-02  2.595E-05   37.12 mm     1.54 mm   798.07 um
   2.75 GeV   8.411E-02  2.380E-05   43.52 mm     1.79 mm   926.83 um
   3.00 GeV   7.997E-02  2.198E-05   50.28 mm     2.04 mm     1.06 mm
   3.25 GeV   7.645E-02  2.044E-05   57.36 mm     2.28 mm     1.20 mm
   3.50 GeV   7.342E-02  1.910E-05   64.75 mm     2.52 mm     1.34 mm
   3.75 GeV   7.079E-02  1.794E-05   72.44 mm     2.75 mm     1.49 mm
   4.00 GeV   6.849E-02  1.691E-05   80.39 mm     2.98 mm     1.64 mm
   4.50 GeV   6.466E-02  1.519E-05   97.04 mm     3.82 mm     1.95 mm
   5.00 GeV   6.160E-02  1.379E-05  114.60 mm     4.57 mm     2.27 mm
   5.50 GeV   5.912E-02  1.264E-05  132.95 mm     5.27 mm     2.60 mm
   6.00 GeV   5.708E-02  1.167E-05  152.03 mm     5.94 mm     2.94 mm
   6.50 GeV   5.536E-02  1.085E-05  171.74 mm     6.58 mm     3.28 mm
   7.00 GeV   5.392E-02  1.013E-05  192.01 mm     7.20 mm     3.62 mm
   8.00 GeV   5.162E-02  8.964E-06  234.02 mm     9.36 mm     4.32 mm
   9.00 GeV   4.991E-02  8.045E-06  277.68 mm    11.25 mm     5.02 mm
  10.00 GeV   4.859E-02  7.302E-06  322.69 mm    12.95 mm     5.71 mm
